keyword,avg. monthly searches,competition,cpc
jura e8 entkalken,1900,low,0.42
delonghi magnifica entkalken,2400,low,0.38
saeco xelsis entkalken,390,low,0.31
philips 5400 entkalken,720,low,0.29
siemens eq6 entkalken,880,low,0.35
jura e8 reinigen,1300,low,0.40
delonghi magnifica reinigen,1000,low,0.34
saeco xelsis reinigen,320,low,0.30
philips 5400 reinigen,480,low,0.28
flat white rezept,1600,medium,0.22
cold brew rezept,5400,medium,0.26
espresso tonic rezept,720,medium,0.18
affogato rezept,1300,medium,0.20
cappuccino rezept,8100,medium,0.30
beste kaffeebohnen für vollautomat,2400,medium,0.55
beste bohnen für cappuccino,880,medium,0.48
beste kaffee für latte macchiato,590,medium,0.44
beste kaffeebohnen für espresso,1900,medium,0.61
beste kaffee für siebträger,1000,medium,0.58
alternative zu jura reinigungstabletten,170,low,0.25
alternative zu delonghi reinigungstabletten,140,low,0.22
alternative zu siemens reinigungstabletten,90,low,0.21
alternative zu philips reinigungstabletten,70,low,0.20
